file_date,id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
2017-07-11 03:09:34 AM,72,W 52 St & 11 Ave,30,39,40.76727216,-73.99392888,In Service,1,7,W 52 St & 11 Ave,,,,,,False,2017-07-11 03:08:03 AM,
2017-07-11 03:09:34 AM,79,Franklin St & W Broadway,32,33,40.71911552,-74.00666661,In Service,1,0,Franklin St & W Broadway,,,,,,False,2017-07-11 03:08:19 AM,
2017-07-11 03:09:34 AM,82,St James Pl & Pearl St,15,27,40.71117416,-74.00016545,In Service,1,11,St James Pl & Pearl St,,,,,,False,2017-07-11 03:08:53 AM,
2017-07-11 03:09:34 AM,83,Atlantic Ave & Fort Greene Pl,34,62,40.68382604,-73.97632328,In Service,1,26,Atlantic Ave & Fort Greene Pl,,,,,,False,2017-07-11 03:08:21 AM,
2017-07-11 03:09:34 AM,116,W 17 St & 8 Ave,37,39,40.74177603,-74.00149746,In Service,1,0,W 17 St & 8 Ave,,,,,,False,2017-07-11 03:08:37 AM,
2017-07-11 03:09:34 AM,119,Park Ave & St Edwards St,2,19,40.69608941,-73.97803415,In Service,1,17,Park Ave & St Edwards St,,,,,,False,2017-07-11 03:07:32 AM,
2017-07-11 03:09:34 AM,120,Lexington Ave & Classon Ave,0,19,40.68676793,-73.95928168,In Service,1,19,Lexington Ave & Classon Ave,,,,,,False,2017-07-11 03:06:03 AM,
2017-07-11 03:09:34 AM,127,Barrow St & Hudson St,17,31,40.73172428,-74.00674436,In Service,1,14,Barrow St & Hudson St,,,,,,False,2017-07-11 03:07:43 AM,
2017-07-11 03:09:34 AM,128,MacDougal St & Prince St,25,30,40.72710258,-74.00297088,In Service,1,3,MacDougal St & Prince St,,,,,,False,2017-07-11 03:08:36 AM,
2017-07-11 03:09:34 AM,143,Clinton St & Joralemon St,11,24,40.69239502,-73.99337909,In Service,1,12,Clinton St & Joralemon St,,,,,,False,2017-07-11 03:07:32 AM,
2017-07-11 03:09:34 AM,144,Nassau St & Navy St,2,19,40.69839895,-73.98068914,In Service,1,17,Nassau St & Navy St,,,,,,False,2017-07-11 03:07:16 AM,
2017-07-11 03:09:34 AM,146,Hudson St & Reade St,26,39,40.71625008,-74.0091059,In Service,1,11,Hudson St & Reade St,,,,,,False,2017-07-11 03:06:04 AM,
2017-07-11 03:09:34 AM,150,E 2 St & Avenue C,2,31,40.7208736,-73.98085795,In Service,1,28,E 2 St & Avenue C,,,,,,False,2017-07-11 03:07:47 AM,
2017-07-11 03:09:34 AM,151,Cleveland Pl & Spring St,32,33,40.722103786686034,-73.99724900722504,In Service,1,1,Cleveland Pl & Spring St,,,,,,False,2017-07-11 03:08:37 AM,
2017-07-11 03:09:34 AM,152,Warren St & Church St,19,29,40.71473993,-74.00910627,In Service,1,8,Warren St & Church St,,,,,,False,2017-07-11 03:07:57 AM,
2017-07-11 03:09:34 AM,153,E 40 St & 5 Ave,53,55,40.752062307,-73.9816324043,In Service,1,0,E 40 St & 5 Ave,,,,,,False,2017-07-11 03:08:02 AM,
2017-07-11 03:09:34 AM,157,Henry St & Atlantic Ave,7,23,40.69089272,-73.99612349,In Service,1,15,Henry St & Atlantic Ave,,,,,,False,2017-07-11 03:06:04 AM,
2017-07-11 03:09:34 AM,161,LaGuardia Pl & W 3 St,29,35,40.72917025,-73.99810231,In Service,1,4,LaGuardia Pl & W 3 St,,,,,,False,2017-07-11 03:07:37 AM,
2017-07-11 03:09:34 AM,164,E 47 St & 2 Ave,47,47,40.75323098,-73.97032517,In Service,1,0,E 47 St & 2 Ave,,,,,,False,2017-07-11 03:07:19 AM,
2017-07-11 03:09:34 AM,167,E 39 St & 3 Ave,43,45,40.7489006,-73.97604882,In Service,1,2,E 39 St & 3 Ave,,,,,,False,2017-07-11 03:07:06 AM,
2017-07-11 03:09:34 AM,168,W 18 St & 6 Ave,45,47,40.73971301,-73.99456405,In Service,1,1,W 18 St & 6 Ave,,,,,,False,2017-07-11 03:07:37 AM,
2017-07-11 03:09:34 AM,173,Broadway & W 49 St,50,51,40.76068327096592,-73.9845272898674,In Service,1,1,Broadway & W 49 St,,,,,,False,2017-07-11 03:06:10 AM,
2017-07-11 03:09:34 AM,174,E 25 St & 1 Ave,7,30,40.7381765,-73.97738662,In Service,1,22,E 25 St & 1 Ave,,,,,,False,2017-07-11 03:07:48 AM,
2017-07-11 03:09:34 AM,195,Liberty St & Broadway,42,45,40.70905623,-74.01043382,In Service,1,3,Liberty St & Broadway,,,,,,False,2017-07-11 03:05:45 AM,
2017-07-11 03:09:34 AM,212,W 16 St & The High Line,25,28,40.74334935,-74.00681753,In Service,1,2,W 16 St & The High Line,,,,,,False,2017-07-11 03:08:45 AM,
2017-07-11 03:09:34 AM,216,Columbia Heights & Cranberry St,12,23,40.70037867,-73.99548059,In Service,1,11,Columbia Heights & Cranberry St,,,,,,False,2017-07-11 03:06:10 AM,
2017-07-11 03:09:34 AM,217,Old Fulton St,28,39,40.70277159,-73.99383605,In Service,1,10,Old Fulton St,,,,,,False,2017-07-11 03:06:04 AM,
2017-07-11 03:09:34 AM,223,W 13 St & 7 Ave,30,33,40.73781509,-73.99994661,In Service,1,2,W 13 St & 7 Ave,,,,,,False,2017-07-11 03:05:35 AM,
2017-07-11 03:09:34 AM,224,Spruce St & Nassau St,0,0,40.71146364,-74.00552427,Not In Service,3,0,Spruce St & Nassau St,,,,,,False,1969-12-31 07:00:00 PM,
2017-07-11 03:09:34 AM,228,E 48 St & 3 Ave,53,55,40.7546011026,-73.971878855,In Service,1,0,E 48 St & 3 Ave,,,,,,False,2017-07-11 03:08:17 AM,
2017-07-11 03:09:34 AM,229,Great Jones St,17,23,40.72743423,-73.99379025,In Service,1,0,Great Jones St,,,,,,False,2017-07-11 03:07:25 AM,
2017-07-11 03:09:34 AM,232,Cadman Plaza E & Tillary St,14,23,40.69597683,-73.99014892,In Service,1,9,Cadman Plaza E & Tillary St,,,,,,False,2017-07-11 03:08:02 AM,
2017-07-11 03:09:34 AM,236,St Marks Pl & 2 Ave,0,39,40.7284186,-73.98713956,In Service,1,36,St Marks Pl & 2 Ave,,,,,,False,2017-07-11 03:06:51 AM,
2017-07-11 03:09:34 AM,237,E 11 St & 2 Ave,11,39,40.73047309,-73.98672378,In Service,1,27,E 11 St & 2 Ave,,,,,,False,2017-07-11 03:07:18 AM,
2017-07-11 03:09:34 AM,238,Bank St & Washington St,9,31,40.7361967,-74.00859207,In Service,1,21,Bank St & Washington St,,,,,,False,2017-07-11 03:06:53 AM,
2017-07-11 03:09:34 AM,239,Willoughby St & Fleet St,26,31,40.69196566,-73.9813018,In Service,1,4,Willoughby St & Fleet St,,,,,,False,2017-07-11 03:06:18 AM,
2017-07-11 03:09:34 AM,241,DeKalb Ave & S Portland Ave,4,23,40.68981035,-73.97493121,In Service,1,19,DeKalb Ave & S Portland Ave,,,,,,False,2017-07-11 03:09:26 AM,
2017-07-11 03:09:34 AM,242,Carlton Ave & Flushing Ave,2,23,40.697787,-73.973736,In Service,1,16,Carlton Ave & Flushing Ave,,,,,,False,2017-07-11 03:08:14 AM,
2017-07-11 03:09:34 AM,243,Fulton St & Rockwell Pl,1,31,40.688226,-73.979382,In Service,1,25,Fulton St & Rockwell Pl,,,,,,False,2017-07-11 03:07:22 AM,
2017-07-11 03:09:34 AM,244,Willoughby Ave & Hall St,3,31,40.69196035,-73.96536851,In Service,1,28,Willoughby Ave & Hall St,,,,,,False,2017-07-11 03:08:21 AM,
2017-07-11 03:09:34 AM,245,Myrtle Ave & St Edwards St,8,23,40.69327018,-73.97703874,In Service,1,13,Myrtle Ave & St Edwards St,,,,,,False,2017-07-11 03:08:45 AM,
2017-07-11 03:09:34 AM,247,Perry St & Bleecker St,0,20,40.73535398,-74.00483091,In Service,1,19,Perry St & Bleecker St,,,,,,False,2017-07-11 03:06:13 AM,
2017-07-11 03:09:34 AM,248,Laight St & Hudson St,22,23,40.72185379,-74.00771779,In Service,1,0,Laight St & Hudson St,,,,,,False,2017-07-11 03:08:36 AM,
2017-07-11 03:09:34 AM,249,Harrison St & Hudson St,23,27,40.71870987,-74.0090009,In Service,1,2,Harrison St & Hudson St,,,,,,False,2017-07-11 03:07:26 AM,
2017-07-11 03:09:34 AM,251,Mott St & Prince St,24,27,40.72317958,-73.99480012,In Service,1,3,Mott St & Prince St,,,,,,False,2017-07-11 03:07:28 AM,
2017-07-11 03:09:34 AM,252,MacDougal St & Washington Sq,30,33,40.73226398,-73.99852205,In Service,1,2,MacDougal St & Washington Sq,,,,,,False,2017-07-11 03:07:01 AM,
2017-07-11 03:09:34 AM,253,W 13 St & 5 Ave,55,55,40.73543934,-73.99453948,In Service,1,0,W 13 St & 5 Ave,,,,,,False,2017-07-11 03:06:43 AM,
2017-07-11 03:09:34 AM,254,W 11 St & 6 Ave,31,31,40.73532427,-73.99800419,In Service,1,0,W 11 St & 6 Ave,,,,,,False,2017-07-11 03:07:16 AM,
2017-07-11 03:09:34 AM,257,Lispenard St & Broadway,38,39,40.71939226,-74.00247214,In Service,1,0,Lispenard St & Broadway,,,,,,False,2017-07-11 03:05:38 AM,
